 #    x  	Donor-Exp	Donor-Imp
    0.000	  1.00000	  1.00000
    0.250	  0.98027	  0.97950
    0.750	  0.90434	  0.90215
    1.250	  0.75679	  0.75397
    1.750	  0.56369	  0.56184
    2.250	  0.37220	  0.37219
    2.750	  0.21878	  0.22022
    3.250	  0.11532	  0.11728
    3.750	  0.05496	  0.05669
    4.250	  0.02387	  0.02507
    4.750	  0.00952	  0.01021
